hierarchy,name,description
"test, lab, medical equipment > photometers",photometers,
"test, lab, medical equipment > power analyzers",power analyzers,
"test, lab, medical equipment > power supply",power supply,
"test, lab, medical equipment > pulse oximeters",pulse oximeters,
"test, lab, medical equipment > rheometers & viscometers",rheometers & viscometers,
"test, lab, medical equipment > signal analyzers",signal analyzers,
"test, lab, medical equipment > spectrometers",spectrometers,
"test, lab, medical equipment > spectrophotometers",spectrophotometers,
"test, lab, medical equipment > spectroscopy",spectroscopy,
"test, lab, medical equipment > spectrum analyzers",spectrum analyzers,
"test, lab, medical equipment > test generators",test generators,
"test, lab, medical equipment > thermal cyclers (pcr machines)",thermal cyclers (pcr machines),
"test, lab, medical equipment > time-domain reflectometers (tdr)",time-domain reflectometers (tdr),
"test, lab, medical equipment > tissue processors",tissue processors,
"test, lab, medical equipment > titrators",titrators,
"test, lab, medical equipment > ventilators",ventilators,
"test, lab, medical equipment > water baths",water baths,
"test, lab, medical equipment > x-ray analytical equipment",x-ray analytical equipment,
"test, lab, medical equipment > ph meters",ph meters,
textile and leather manufacturing,textile and leather manufacturing,
textile and leather manufacturing > calendering,calendering,
textile and leather manufacturing > carding machines,carding machines,
textile and leather manufacturing > dyeing & finishing,dyeing & finishing,
textile and leather manufacturing > industrial laundry equipment,industrial laundry equipment,
textile and leather manufacturing > knitting,knitting,
textile and leather manufacturing > leather,leather,
textile and leather manufacturing > mattress manufacturing,mattress manufacturing,
textile and leather manufacturing > medical masks & respiratory protection manufacturing,medical masks & respiratory protection manufacturing,
textile and leather manufacturing > monofilament extrusion lines,monofilament extrusion lines,
textile and leather manufacturing > needle looms,needle looms,
textile and leather manufacturing > non woven,non woven,
textile and leather manufacturing > preparation,preparation,
textile and leather manufacturing > rope making machines,rope making machines,
textile and leather manufacturing > sewing machines,sewing machines,
textile and leather manufacturing > shoe machines,shoe machines,
textile and leather manufacturing > weaving,weaving,
textile and leather manufacturing > winders & unwinders,winders & unwinders,
textile and leather manufacturing > yarn manufacturing,yarn manufacturing,
trucks,trucks,
trucks > agricultural trailers,agricultural trailers,
trucks > ambulance vehicles,ambulance vehicles,
trucks > automotive equipment,automotive equipment,
trucks > beverage trucks,beverage trucks,
trucks > booster trailers,booster trailers,
trucks > box trailers,box trailers,
trucks > box trucks,box trucks,
trucks > bucket (boom) trucks,bucket (boom) trucks,
trucks > buses,buses,
trucks > cab chassis trucks,cab chassis trucks,
"trucks > campers, caravans, motorhomes","campers, caravans, motorhomes",
trucks > coach buses,coach buses,
trucks > concession trailers,concession trailers,
trucks > concrete mixers,concrete mixers,
trucks > conventional trucks,conventional trucks,
trucks > crawler carriers & dumpers,crawler carriers & dumpers,
trucks > curtainsider trailers,curtainsider trailers,
trucks > dry bulk & pneumatic trailers,dry bulk & pneumatic trailers,
trucks > dump trailers,dump trailers,
trucks > dump trucks,dump trucks,
trucks > fire trucks,fire trucks,
trucks > flatbed trailers,flatbed trailers,
trucks > flatbed trucks,flatbed trucks,
trucks > food trucks,food trucks,
trucks > forestry trailers,forestry trailers,
trucks > fuel & lube trucks,fuel & lube trucks,
trucks > garbage trucks,garbage trucks,
trucks > grain hopper trailers,grain hopper trailers,
trucks > grain trucks,grain trucks,
