hierarchy,name,description
semi-trailers > tank trailers > waste / sludge tank trailers,waste / sludge tank trailers,
semi-trailers > tank trailers > water tank trailers,water tank trailers,
skid steers,skid steers,
skid steers > track skid steers,track skid steers,
skid steers > wheel skid steers,wheel skid steers,
skid steers > mini skid steers,mini skid steers,
skip loaders,skip loaders,
straw blowers / hydroseeders,straw blowers / hydroseeders,
sweepers / broom equipment,sweepers / broom equipment,
tillage equipment,tillage equipment,
tillage equipment > disks,disks,
tractors,tractors,
tractors > 300 hp or greater tractors,300 hp or greater tractors,
tractors > 175 hp to 299 hp tractors,175 hp to 299 hp tractors,
trenchers / cable plows,trenchers / cable plows,
trenchers / cable plows > ride on trenchers / cable plows,ride on trenchers / cable plows,
trenchers / cable plows > walk behind / stand on trenchers / cable plows,walk behind / stand on trenchers / cable plows,
trenchers / cable plows > trench boxes trenchers / cable plows,trench boxes trenchers / cable plows,
trenchers / cable plows > other trenchers / cable plows,other trenchers / cable plows,
trucks,trucks,
trucks > attenuator trucks,attenuator trucks,
trucks > dump trucks,dump trucks,
trucks > dump - transfer trucks,dump - transfer trucks,
trucks > flatbed-dump trucks,flatbed-dump trucks,
trucks > fuel trucks / lube trucks,fuel trucks / lube trucks,
trucks > grapple trucks,grapple trucks,
trucks > mixer trucks / asphalt trucks / concrete trucks,mixer trucks / asphalt trucks / concrete trucks,
trucks > service trucks / utility trucks / mechanic trucks,service trucks / utility trucks / mechanic trucks,
trucks > sweeper trucks,sweeper trucks,
trucks > tank trucks,tank trucks,
trucks > tank trucks > vacuum / industrial tank trucks,vacuum / industrial tank trucks,
trucks > tank trucks > water tank trucks,water tank trucks,
trucks > truck bodies only trucks,truck bodies only trucks,
trucks > truck bodies only trucks > dump truck bodies only trucks,dump truck bodies only trucks,
water equipment,water equipment,
water equipment > tower/tank water equipment,tower/tank water equipment,
water equipment > truck water equipment,truck water equipment,
water equipment > trailer water equipment,trailer water equipment,
water equipment > wagon water equipment,wagon water equipment,
wheel loaders,wheel loaders,
