hierarchy,name,description
transportation > trailers > log trailers,log trailers,
transportation > trailers > lowboy trailers,lowboy trailers,
transportation > trailers > military trailers,military trailers,
transportation > trailers > pole trailers,pole trailers,
transportation > trailers > roll-off trailers,roll-off trailers,
transportation > trailers > specialty trailers,specialty trailers,
transportation > trailers > tanker trailers,tanker trailers,
transportation > trailers > trailer dollies,trailer dollies,
"transportation > trailers > trailers, miscellaneous","trailers, miscellaneous",
transportation > trailers > utility trailers,utility trailers,
transportation > trailers > van/enclosed trailers,van/enclosed trailers,
transportation > trucks,trucks,
transportation > trucks > asphalt trucks,asphalt trucks,
transportation > trucks > boom trucks,boom trucks,
transportation > trucks > box trucks,box trucks,
transportation > trucks > bucket trucks,bucket trucks,
transportation > trucks > cab chassis,cab chassis,
transportation > trucks > digger derrick trucks,digger derrick trucks,
transportation > trucks > dump trucks,dump trucks,
transportation > trucks > flatbed trucks,flatbed trucks,
transportation > trucks > garbage trucks,garbage trucks,
transportation > trucks > grapple trucks,grapple trucks,
transportation > trucks > pickup trucks,pickup trucks,
transportation > trucks > refrigerated trucks,refrigerated trucks,
transportation > trucks > roll off trucks,roll off trucks,
transportation > trucks > service & utility vehicles,service & utility vehicles,
transportation > trucks > snow plow trucks,snow plow trucks,
transportation > trucks > spotter trucks,spotter trucks,
transportation > trucks > step vans,step vans,
transportation > trucks > tank trucks,tank trucks,
transportation > trucks > tow trucks,tow trucks,
transportation > trucks > truck tractors,truck tractors,
"transportation > trucks > trucks, miscellaneous","trucks, miscellaneous",
transportation > trucks > vacuum trucks,vacuum trucks,
transportation > trucks > water trucks,water trucks,
transportation > vehicle equipment/parts,vehicle equipment/parts,
transportation > vehicle equipment/parts > snow removal equipment,snow removal equipment,
transportation > vehicle equipment/parts > tires and tubes,tires and tubes,
