hierarchy,name,description
operating equipment >  forklifts & pallet trucks >  forklift spare parts & accessories, forklift spare parts & accessories ,
operating equipment >  forklifts & pallet trucks >  hand pallet trucks, hand pallet trucks ,
operating equipment >  forklifts & pallet trucks >  lpg forklifts, lpg forklifts ,
operating equipment >  forklifts & pallet trucks >  special forklifts, special forklifts ,
operating equipment >  forklifts & pallet trucks >  special pallet trucks, special pallet trucks ,
operating equipment >  hand & power tools, hand & power tools  ,
operating equipment >  hand & power tools >  compressed air tools, compressed air tools ,
operating equipment >  hand & power tools >  cordless tools, cordless tools ,
operating equipment >  hand & power tools >  hand tools, hand tools ,
operating equipment >  hand & power tools >  power tool accessories, power tool accessories ,
operating equipment >  hand & power tools >  power tools, power tools ,
operating equipment >  hand & power tools >  power tools, power tools ,
operating equipment >  laboratory technology, laboratory technology  ,
operating equipment >  laboratory technology >  laboratory equipment, laboratory equipment ,
operating equipment >  office furniture, office furniture  ,
operating equipment >  office furniture >  office supplies, office supplies ,
operating equipment >  packaging machines, packaging machines  ,
operating equipment >  packaging machines >  other packaging machines, other packaging machines ,
operating equipment >  packaging machines >  strapping machines, strapping machines ,
operating equipment >  packaging machines >  wrapping machines & pallet wrappers, wrapping machines & pallet wrappers ,
operating equipment >  power generators, power generators  ,
operating equipment >  power generators >  motors & drives, motors & drives ,
operating equipment >  power generators >  other energy technology, other energy technology ,
operating equipment >  special items & stocklots, special items & stocklots  ,
operating equipment >  storage technology, storage technology  ,
operating equipment >  storage technology >  cantilever racks, cantilever racks ,
operating equipment >  storage technology >  horizontal storage systems (wood), horizontal storage systems (wood) ,
operating equipment >  storage technology >  other storage systems, other storage systems ,
operating equipment >  storage technology >  pallet racks, pallet racks ,
operating equipment >  storage technology >  paternoster, paternoster ,
operating equipment >  storage technology >  shelving & storage, shelving & storage ,
operating equipment >  storage technology >  storage containers, storage containers ,
operating equipment >  storage technology >  storage platforms, storage platforms ,
operating equipment >  storage technology >  vertical carouseles, vertical carouseles ,
operating equipment >  vehicles, vehicles  ,
operating equipment >  vehicles >  accessories & tires, accessories & tires ,
operating equipment >  vehicles >  cars, cars ,
operating equipment >  vehicles >  other vehicles & accessories, other vehicles & accessories ,
operating equipment >  vehicles >  trailers & semi-trailers, trailers & semi-trailers ,
operating equipment >  vehicles >  transporters (vans), transporters (vans) ,
operating equipment >  vehicles >  trucks, trucks ,
operating equipment >  workshop equipment, workshop equipment  ,
operating equipment >  workshop equipment >  heating apparatus, heating apparatus ,
operating equipment >  workshop equipment >  lifting equipments, lifting equipments ,
operating equipment >  workshop equipment >  other workshop supplies, other workshop supplies ,
operating equipment >  workshop equipment >  roller conveyor belts, roller conveyor belts ,
operating equipment >  workshop equipment >  transport trolleys/workshop trolleys, transport trolleys/workshop trolleys ,
operating equipment >  workshop equipment >  transporting & conveyor belts, transporting & conveyor belts ,
operating equipment >  workshop equipment >  workbenches, workbenches ,
operating equipment >  workshop equipment >  workshop cabinets, workshop cabinets ,
other industries, other industries  ,
other industries >  agricultural equipment, agricultural equipment  ,
other industries >  agricultural equipment >  fertilisation / spraying technologies, fertilisation / spraying technologies ,
other industries >  agricultural equipment >  forestry techniques, forestry techniques ,
other industries >  agricultural equipment >  tillage equipment, tillage equipment ,
other industries >  agricultural equipment >  tractors, tractors ,
other industries >  agricultural equipment >  transport vehicles, transport vehicles ,
other industries >  agricultural equipment >  watering / drainage techniques, watering / drainage techniques ,
other industries >  chemical and pharmaceutical industry, chemical and pharmaceutical industry  ,
other industries >  door & window construction, door & window construction  ,
other industries >  door & window construction >  machinery for pvc-windows, machinery for pvc-windows ,
"other industries >  door & window construction >  machining centres, profiling machines & angular plants"," machining centres, profiling machines & angular plants ",
other industries >  door & window construction >  special machinery for window construction, special machinery for window construction ,
"other industries >  door & window construction >  special tools, accessories & materials"," special tools, accessories & materials ",
other industries >  electronics industry, electronics industry  ,
other industries >  electronics industry >  solar inverters, solar inverters ,
other industries >  electronics industry >  solar panel/photovoltaic kits, solar panel/photovoltaic kits ,
other industries >  electronics industry >  solar panels/photovoltaic cells, solar panels/photovoltaic cells ,
