hierarchy,name,description
miscellaneous industrial equipment > public works - miscellaneous,public works - miscellaneous ,
miscellaneous industrial equipment > pumps and industrial pumping systems,pumps and industrial pumping systems ,
miscellaneous industrial equipment > robots,robots ,
miscellaneous industrial equipment > spray booths / painting units,spray booths / painting units ,
miscellaneous industrial equipment > stone industry equipment - marble and granite,stone industry equipment - marble and granite ,
miscellaneous industrial equipment > vacuum cleaning units,vacuum cleaning units ,
packaging - conditioning,packaging - conditioning ,
packaging - conditioning > bagging machines - horizontal - flowpacks,bagging machines - horizontal - flowpacks ,
packaging - conditioning > bagging machines - vertical -  sachet machines,bagging machines - vertical -  sachet machines ,
packaging - conditioning > baling presses - waste compactors,baling presses - waste compactors ,
packaging - conditioning > blister machines,blister machines ,
packaging - conditioning > bundlers,bundlers ,
packaging - conditioning > capping machines - cappers - crimping machines,capping machines - cappers - crimping machines ,
packaging - conditioning > cartoning machines / cartoners - horizontal,cartoning machines / cartoners - horizontal ,
packaging - conditioning > cartoning machines / cartoners - vertical,cartoning machines / cartoners - vertical ,
packaging - conditioning > case packers,case packers ,
packaging - conditioning > cellophane / overwrapping machines,cellophane / overwrapping machines ,
packaging - conditioning > checkweighers,checkweighers ,
packaging - conditioning > feeders - scales - sorting machines,feeders - scales - sorting machines ,
packaging - conditioning > filling machines - bottling equipment,filling machines - bottling equipment ,
packaging - conditioning > filling machines - food industry,filling machines - food industry ,
packaging - conditioning > filling machines - tube fillers,filling machines - tube fillers ,
packaging - conditioning > filling machines - various equipment,filling machines - various equipment ,
packaging - conditioning > filling machines - vials / ampoules fillers,filling machines - vials / ampoules fillers ,
packaging - conditioning > inspection machines,inspection machines ,
packaging - conditioning > labellers,labellers ,
packaging - conditioning > metal detectors,metal detectors ,
packaging - conditioning > miscellaneous packaging machines,miscellaneous packaging machines ,
packaging - conditioning > multihead weighers,multihead weighers ,
packaging - conditioning > palletizers - palletizing robots,palletizers - palletizing robots ,
packaging - conditioning > shrink wrap machines / sealers,shrink wrap machines / sealers ,
packaging - conditioning > shrinking tunnels,shrinking tunnels ,
packaging - conditioning > strapping machines,strapping machines ,
packaging - conditioning > stretch wrapping machines,stretch wrapping machines ,
packaging - conditioning > taping machines,taping machines ,
packaging - conditioning > tea / coffee bag machines,tea / coffee bag machines ,
"packaging - conditioning > thermoforming - form, fill and seal, ffs lines","thermoforming - form, fill and seal, ffs lines ",
packaging - conditioning > tray sealers,tray sealers ,
pharmaceutical - chemical,pharmaceutical - chemical ,
pharmaceutical - chemical > analytical instruments,analytical instruments ,
pharmaceutical - chemical > autoclaves / drying stoves,autoclaves / drying stoves ,
pharmaceutical - chemical > capsule fillers,capsule fillers ,
pharmaceutical - chemical > centrifuges / centrifugal separators / decanters,centrifuges / centrifugal separators / decanters ,
pharmaceutical - chemical > cleaning and sterilizing machines,cleaning and sterilizing machines ,
pharmaceutical - chemical > counting machines,counting machines ,
pharmaceutical - chemical > dryers,dryers ,
pharmaceutical - chemical > evaporators,evaporators ,
pharmaceutical - chemical > granulators,granulators ,
pharmaceutical - chemical > lyophilizers - freeze dryers,lyophilizers - freeze dryers ,
pharmaceutical - chemical > medical - laboratory equipment,medical - laboratory equipment ,
pharmaceutical - chemical > mills,mills ,
pharmaceutical - chemical > miscellaneous pharmaceutical / chemical machines,miscellaneous pharmaceutical / chemical machines ,
pharmaceutical - chemical > mixers - multishaft and planetary mixers,mixers - multishaft and planetary mixers ,
pharmaceutical - chemical > mixers / blenders - powder solid,mixers / blenders - powder solid ,
pharmaceutical - chemical > mixers / homogenizers - liquid cream,mixers / homogenizers - liquid cream ,
pharmaceutical - chemical > pharmacy / medical - complete production lines,pharmacy / medical - complete production lines ,
pharmaceutical - chemical > tablet coating machines,tablet coating machines ,
pharmaceutical - chemical > tablet presses - rotary / rotary compacting presses,tablet presses - rotary / rotary compacting presses ,
pharmaceutical - chemical > tablet presses - single-punch / eccentric / single station press,tablet presses - single-punch / eccentric / single station press ,
pharmaceutical - chemical > tanks - boilers - melting tanks,tanks - boilers - melting tanks ,
