hierarchy,name,description
turf equipment > garden tillers,garden tillers,
turf equipment > mower,mower,
turf equipment > salt spreaders,salt spreaders,
turf equipment > vegetation shredder,vegetation shredder,
turf equipment > chain saw,chain saw,
turf equipment > park equipment spares,park equipment spares,
turf equipment > other garden equipment,other garden equipment,
farm equipment,farm equipment,
farm equipment > tractor,tractor,
farm equipment > tractor > farm tractor,farm tractor,
farm equipment > tractor > orchard tractor,orchard tractor,
farm equipment > tractor > vineyard tractor,vineyard tractor,
farm equipment > tractor > straddle tractor,straddle tractor,
farm equipment > tractor > forestry tractor,forestry tractor,
farm equipment > tractor > unimog,unimog,
farm equipment > tractor > garden tractor,garden tractor,
farm equipment > tractor > slope tractor,slope tractor,
farm equipment > tractor > antique tractor,antique tractor,
farm equipment > tractor > tractor spare parts,tractor spare parts,
farm equipment > tractor > tractor - other,tractor - other,
farm equipment > harvesting equipment,harvesting equipment,
farm equipment > harvesting equipment > combine harvester and accessories,combine harvester and accessories,
farm equipment > harvesting equipment > forage harvester and accessories,forage harvester and accessories,
farm equipment > harvesting equipment > potato harvester,potato harvester,
farm equipment > harvesting equipment > beet-growing equipment,beet-growing equipment,
farm equipment > harvesting equipment > flax harvesting equipment,flax harvesting equipment,
farm equipment > harvesting equipment > grape harvesting machine,grape harvesting machine,
farm equipment > harvesting equipment > spare parts,spare parts,
farm equipment > harvesting equipment > harvesting equipment - other,harvesting equipment - other,
farm equipment > seed drills,seed drills,
farm equipment > seed drills > conventional-till seed drill,conventional-till seed drill,
farm equipment > seed drills > no-till seed drill,no-till seed drill,
farm equipment > seed drills > precision seeder,precision seeder,
"farm equipment > seed drills > combine drill (harrow + drill, etc.)","combine drill (harrow + drill, etc.)",
farm equipment > seed drills > spare parts,spare parts,
farm equipment > seed drills > seed drill - other,seed drill - other,
farm equipment > sprayers,sprayers,
farm equipment > sprayers > trailed sprayer,trailed sprayer,
farm equipment > sprayers > self-propelled sprayer,self-propelled sprayer,
farm equipment > sprayers > tractor-mounted sprayer,tractor-mounted sprayer,
farm equipment > sprayers > sprayer,sprayer,
farm equipment > sprayers > orchard sprayer,orchard sprayer,
farm equipment > sprayers > spare parts,spare parts,
farm equipment > sprayers > sprayer - other,sprayer - other,
farm equipment > power harrow,power harrow,
farm equipment > power harrow > rotary harrow,rotary harrow,
farm equipment > power harrow > reciprocating harrow,reciprocating harrow,
farm equipment > power harrow > rotavator,rotavator,
farm equipment > power harrow > digging machine,digging machine,
farm equipment > power harrow > stone crusher,stone crusher,
farm equipment > power harrow > stone removal equipment,stone removal equipment,
farm equipment > power harrow > spare parts,spare parts,
farm equipment > power harrow > other power harrow,other power harrow,
"farm equipment > disc, tine & tillage equipment","disc, tine & tillage equipment",
"farm equipment > disc, tine & tillage equipment > plough",plough,
"farm equipment > disc, tine & tillage equipment > disc harrow",disc harrow,
"farm equipment > disc, tine & tillage equipment > stubble cultivator",stubble cultivator,
"farm equipment > disc, tine & tillage equipment > seedbed cultivator",seedbed cultivator,
"farm equipment > disc, tine & tillage equipment > subsoiler",subsoiler,
"farm equipment > disc, tine & tillage equipment > chisel plow",chisel plow,
"farm equipment > disc, tine & tillage equipment > seedbed preparation combine",seedbed preparation combine,
"farm equipment > disc, tine & tillage equipment > harrow",harrow,
"farm equipment > disc, tine & tillage equipment > weeder harrow",weeder harrow,
"farm equipment > disc, tine & tillage equipment > meadow aerator",meadow aerator,
"farm equipment > disc, tine & tillage equipment > hoe",hoe,
"farm equipment > disc, tine & tillage equipment > spare parts",spare parts,
"farm equipment > disc, tine & tillage equipment > other tillage equipment",other tillage equipment,
farm equipment > rolls & presses,rolls & presses,
farm equipment > spreaders,spreaders,
farm equipment > spreaders > fertiliser spreader,fertiliser spreader,
farm equipment > spreaders > manure spreader,manure spreader,
farm equipment > spreaders > liquid manure spreader,liquid manure spreader,
farm equipment > spreaders > spare parts,spare parts,
farm equipment > spreaders > other spreader,other spreader,
farm equipment > shredders,shredders,
farm equipment > shredders > horizontal axis shredder,horizontal axis shredder,
farm equipment > shredders > vertical axis shredder,vertical axis shredder,
farm equipment > shredders > verge mower,verge mower,
farm equipment > shredders > hedge mower,hedge mower,
farm equipment > shredders > forestry mower,forestry mower,
farm equipment > shredders > stone crusher,stone crusher,
farm equipment > shredders > wood chippers  / grinder,wood chippers  / grinder,
farm equipment > shredders > haulm topper,haulm topper,
farm equipment > shredders > spare parts,spare parts,
"farm equipment > shredders > cutters, flail mowers - other","cutters, flail mowers - other",
farm equipment > farm trailer,farm trailer,
farm equipment > farm trailer > cereal tipping trailer,cereal tipping trailer,
farm equipment > farm trailer > tipping trailer,tipping trailer,
farm equipment > farm trailer > forage platform trailer,forage platform trailer,
farm equipment > farm trailer > plates material carrier,plates material carrier,
farm equipment > farm trailer > grape harvest trailer,grape harvest trailer,
farm equipment > farm trailer > livestock trailer,livestock trailer,
farm equipment > farm trailer > self loading wagons,self loading wagons,
farm equipment > farm trailer > crop cart,crop cart,
farm equipment > farm trailer > spare parts,spare parts,
farm equipment > farm trailer > other farm trailer,other farm trailer,
farm equipment > irrigation equipment,irrigation equipment,
farm equipment > irrigation equipment > drum,drum,
farm equipment > irrigation equipment > pump,pump,
farm equipment > irrigation equipment > pipe,pipe,
farm equipment > irrigation equipment > spare parts,spare parts,
farm equipment > irrigation equipment > irrigation equipment - other,irrigation equipment - other,
farm equipment > storage,storage,
farm equipment > storage > cereal storage,cereal storage,
"farm equipment > storage > screw, elevator, conveyor","screw, elevator, conveyor",
"farm equipment > storage > cleaner, separator","cleaner, separator",
farm equipment > storage > potatoes storage,potatoes storage,
farm equipment > storage > liquid storage,liquid storage,
farm equipment > storage > milk tank,milk tank,
farm equipment > storage > shed / building,shed / building,
farm equipment > storage > hay handling,hay handling,
farm equipment > storage > grain bagger,grain bagger,
farm equipment > storage > drying technique,drying technique,
farm equipment > storage > storage - other,storage - other,
farm equipment > hay and forage equipment,hay and forage equipment,
farm equipment > hay and forage equipment > round baler,round baler,
farm equipment > hay and forage equipment > large square baler,large square baler,
farm equipment > hay and forage equipment > small square baler,small square baler,
farm equipment > hay and forage equipment > baler wrapper combination,baler wrapper combination,
farm equipment > hay and forage equipment > mower,mower,
farm equipment > hay and forage equipment > mower conditioner,mower conditioner,
farm equipment > hay and forage equipment > tedder,tedder,
farm equipment > hay and forage equipment > tedder rake,tedder rake,
farm equipment > hay and forage equipment > rake,rake,
farm equipment > hay and forage equipment > wrapper,wrapper,
farm equipment > hay and forage equipment > self loading wagons,self loading wagons,
farm equipment > hay and forage equipment > hay handling,hay handling,
farm equipment > hay and forage equipment > bale stacker,bale stacker,
farm equipment > hay and forage equipment > bundle raiser,bundle raiser,
farm equipment > hay and forage equipment > spare parts,spare parts,
farm equipment > hay and forage equipment > forage - other,forage - other,
farm equipment > livestock equipment,livestock equipment,
farm equipment > livestock equipment > forage wagon,forage wagon,
farm equipment > livestock equipment > forage wagon - straw blower,forage wagon - straw blower,
farm equipment > livestock equipment > silage facer bucket,silage facer bucket,
farm equipment > livestock equipment > straw blower,straw blower,
farm equipment > livestock equipment > straw spreader,straw spreader,
farm equipment > livestock equipment > mixer,mixer,
farm equipment > livestock equipment > self-propelled mixer,self-propelled mixer,
farm equipment > livestock equipment > distribution trailer,distribution trailer,
farm equipment > livestock equipment > livestock trailer,livestock trailer,
farm equipment > livestock equipment > head locks,head locks,
farm equipment > livestock equipment > water tank,water tank,
farm equipment > livestock equipment > milking parlour / automatic milking system,milking parlour / automatic milking system,
farm equipment > livestock equipment > milk tank,milk tank,
farm equipment > livestock equipment > meadow aerator,meadow aerator,
farm equipment > livestock equipment > spare parts,spare parts,
farm equipment > livestock equipment > stockbreeding equipment - other,stockbreeding equipment - other,
farm equipment > special crop equipment,special crop equipment,
farm equipment > special crop equipment > market gardening,market gardening,
farm equipment > special crop equipment > arboriculture,arboriculture,
